재난원인,구분,연도,금액
강풍,가,2015,4695159.0
강풍,가,2018,7712.0
강풍,가,2019,8695.0
강풍,가,2021,490142.0
강풍,가,2022,26410.0
강풍,나,2015,3891317.0
강풍,나,2018,6614.0
강풍,나,2019,7459.0
강풍,나,2021,445234.0
강풍,나,2022,26000.0
대설,가,2015,15710265.0
대설,가,2016,22965670.0
대설,가,2017,99111.0
대설,가,2018,16362350.0
대설,가,2019,782575.0
대설,가,2021,3883253.0
대설,가,2022,15683021.0
대설,가,2023,2872640.0
대설,나,2015,13020565.0
대설,나,2016,18688655.0
대설,나,2017,83429.0
대설,나,2018,14031857.0
대설,나,2019,671313.0
대설,나,2021,3527457.0
대설,나,2022,15439292.0
대설,나,2023,2872640.0
지진,가,2016,13541648.0
지진,가,2017,101003408.0
지진,나,2016,11019717.0
지진,나,2017,85021911.0
태풍,가,2015,16173073.0
태풍,가,2016,264160996.0
태풍,가,2018,74862210.0
태풍,가,2019,248043556.0
태풍,가,2020,260618217.0
태풍,가,2021,23213330.0
태풍,가,2022,247898656.0
태풍,가,2023,55777816.0
태풍,나,2015,13404137.0
태풍,나,2016,214964930.0
태풍,나,2018,64199571.0
태풍,나,2019,212778205.0
태풍,나,2020,222541386.0
태풍,나,2021,21086449.0
태풍,나,2022,244046077.0
태풍,나,2023,55777816.0
폭염,가,2018,8571.0
폭염,가,2019,720693.0
폭염,가,2023,70820.0
폭염,나,2018,7350.0
폭염,나,2019,618229.0
폭염,나,2023,70820.0
"풍랑,강풍",가,2015,402345.0
"풍랑,강풍",가,2016,10202414.0
"풍랑,강풍",가,2017,719023.0
"풍랑,강풍",가,2018,3291634.0
"풍랑,강풍",가,2019,552081.0
"풍랑,강풍",가,2020,374109.0
"풍랑,강풍",가,2022,594740.0
"풍랑,강풍",가,2023,2292744.0
"풍랑,강풍",나,2015,333461.0
"풍랑,강풍",나,2016,8302366.0
"풍랑,강풍",나,2017,605254.0
"풍랑,강풍",나,2018,2822806.0
"풍랑,강풍",나,2019,473589.0
"풍랑,강풍",나,2020,319451.0
"풍랑,강풍",나,2022,585497.0
"풍랑,강풍",나,2023,2292744.0
합계,가,2015,38444010.0
합계,가,2016,354970454.0
합계,가,2017,222509321.0
합계,가,2018,157267714.0
합계,가,2019,252032033.0
합계,가,2020,1543547817.0
합계,가,2021,72332481.0
합계,가,2022,602012056.0
합계,가,2023,835591529.0
합계,나,2015,31862144.0
합계,나,2016,288862474.0
합계,나,2017,187302271.0
합계,나,2018,134868043.0
합계,나,2019,216199624.0
합계,나,2020,1318032463.0
합계,나,2021,65705144.0
합계,나,2022,592656221.0
합계,나,2023,835591529.0
호우,가,2015,1463168.0
호우,가,2016,44099726.0
호우,가,2017,120687779.0
호우,가,2018,62735237.0
호우,가,2019,1924433.0
호우,가,2020,1282555491.0
호우,가,2021,44745756.0
호우,가,2022,337809229.0
호우,가,2023,774577509.0
호우,나,2015,1212664.0
호우,나,2016,35886806.0
호우,나,2017,101591677.0
호우,나,2018,53799845.0
호우,나,2019,1650829.0
호우,나,2020,1095171626.0
호우,나,2021,40646004.0
호우,나,2022,332559355.0
호우,나,2023,774577509.0
